
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
121,2016,Burlington,33.0033.0,37.4037.4,48.3048.3,51.3051.3,60.7060.7,71.9071.9,78.2078.2,78.0078.0,70.8070.8,57.8057.8,47.5047.5,37.6037.6
122,2017,Burlington,37.6037.6,42.6042.6,40.8040.8,57.2057.2,61.1061.1,71.6071.6,76.9076.9,72.7072.7,69.0069.0,61.1061.1,45.9045.9,34.7034.7
123,2018,Burlington,31.5031.5,42.1042.1,39.3039.3,49.5049.5,66.7066.7,71.3071.3,76.9076.9,78.1078.1,71.8071.8,57.8057.8,43.9043.9,39.5039.5
124,2019,Burlington,33.2033.2,36.8036.8,41.4041.4,56.5056.5,64.6064.6,72.2072.2,79.1079.1,75.4075.4,70.4070.4,59.4059.4,42.4042.4,38.7038.7

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Camden,24.6024.6,33.2033.2,37.8037.8,50.2050.2,63.4063.4,70.1070.1,75.2075.2,75.1075.1,69.9069.9,58.0058.0,46.8046.8,35.2035.2
76,1971,Camden,27.3027.3,34.5034.5,39.9039.9,49.5049.5,59.0059.0,72.0072.0,74.8074.8,72.9072.9,69.2069.2,61.3061.3,44.5044.5,40.7040.7
77,1972,Camden,34.1034.1,31.1031.1,39.8039.8,48.3048.3,61.2061.2,67.5067.5,75.7075.7,73.4073.4,67.1067.1,51.1051.1,42.5042.5,39.5039.5
78,1973,Camden,33.8033.8,32.3032.3,46.2046.2,52.4052.4,59.0059.0,73.2073.2,76.2076.2,76.0076.0,68.4068.4,57.5057.5,46.9046.9,37.9037.9
79,1974,Camden,35.6035.6,31.5031.5,43.2043.2,54.5054.5,61.2061.2,68.2068.2,75.3075.3,74.3074.3,66.2066.2,52.1052.1,45.8045.8,38.3038.3
80,1975,Camden,36.5036.5,35.0035.0,40.4040.4,47.2047.2,64.9064.9,70.7070.7,75.0075.0,75.0075.0,64.2064.2,59.2059.2,50.3050.3,36.3036.3
81,1976,Camden,28.3028.3,40.2040.2,45.4045.4,54.7054.7,60.8060.8,73.2073.2,73.6073.6,73.1073.1,65.6065.6,51.3051.3,39.5039.5,29.9029.9
82,1977,Camden,20.9020.9,33.5033.5,47.4047.4,54.6054.6,64.2064.2,68.7068.7,76.4076.4,74.7074.7,68.5068.5,53.6053.6,47.0047.0,33.8033.8
83,1978,Camden,27.7027.7,24.0024.0,38.3038.3,50.4050.4,59.4059.4,70.3070.3,72.8072.8,75.9075.9,65.5065.5,54.1054.1,46.4046.4,37.4037.4
84,1979,Camden,31.8031.8,22.4022.4,45.9045.9,50.6050.6,63.3063.3,67.6067.6,74.4074.4,73.7073.7,66.8066.8,54.2054.2,49.3049.3,37.8037.8
85,1980,Camden,31.6031.6,29.5029.5,39.7039.7,53.4053.4,63.9063.9,69.0069.0,77.2077.2,77.2077.2,70.2070.2,53.8053.8,42.3042.3,32.4032.4
86,1981,Camden,25.1025.1,37.6037.6,39.5039.5,54.7054.7,62.0062.0,71.7071.7,76.2076.2,72.3072.3,65.5065.5,52.0052.0,44.4044.4,33.7033.7
87,1982,Camden,23.8023.8,33.9033.9,40.8040.8,49.3049.3,63.1063.1,67.5067.5,75.6075.6,71.3071.3,65.8065.8,55.4055.4,47.8047.8,41.1041.1
88,1983,Camden,33.4033.4,33.4033.4,43.4043.4,50.9050.9,60.7060.7,71.2071.2,77.4077.4,76.4076.4,68.3068.3,55.8055.8,46.0046.0,33.2033.2
89,1984,Camden,26.4026.4,39.2039.2,36.3036.3,50.0050.0,60.7060.7,72.9072.9,73.8073.8,74.8074.8,64.0064.0,60.3060.3,43.9043.9,41.8041.8
90,1985,Camden,26.7026.7,34.8034.8,44.0044.0,54.7054.7,64.2064.2,68.5068.5,75.0075.0,73.3073.3,68.2068.2,57.7057.7,49.9049.9,32.3032.3
91,1986,Camden,32.2032.2,30.9030.9,43.4043.4,51.5051.5,64.9064.9,71.8071.8,76.1076.1,72.4072.4,66.6066.6,56.8056.8,43.8043.8,37.2037.2
92,1987,Camden,30.9030.9,31.4031.4,43.9043.9,51.3051.3,63.0063.0,73.3073.3,78.1078.1,73.4073.4,67.1067.1,51.3051.3,47.1047.1,38.2038.2
93,1988,Camden,26.9026.9,34.5034.5,43.5043.5,50.0050.0,61.8061.8,70.8070.8,78.3078.3,77.1077.1,64.8064.8,50.6050.6,46.4046.4,34.6034.6
94,1989,Camden,35.8035.8,34.1034.1,41.5041.5,50.9050.9,60.7060.7,73.2073.2,74.3074.3,73.6073.6,67.2067.2,56.9056.9,44.2044.2,24.6024.6
95,1990,Camden,39.6039.6,40.6040.6,45.3045.3,52.1052.1,60.0060.0,71.0071.0,76.1076.1,73.7073.7,65.2065.2,60.4060.4,47.9047.9,40.9040.9
96,1991,Camden,33.8033.8,39.1039.1,44.8044.8,53.3053.3,67.7067.7,72.2072.2,76.6076.6,75.5075.5,66.3066.3,56.7056.7,45.8045.8,39.1039.1
97,1992,Camden,34.3034.3,36.2036.2,39.9039.9,50.4050.4,59.0059.0,68.7068.7,74.7074.7,70.9070.9,66.2066.2,52.3052.3,45.7045.7,37.0037.0
98,1993,Camden,36.8036.8,30.6030.6,38.5038.5,52.0052.0,63.6063.6,71.2071.2,77.9077.9,75.3075.3,66.7066.7,54.4054.4,45.9045.9,35.2035.2
99,1994,Camden,25.8025.8,30.6030.6,40.8040.8,56.4056.4,59.6059.6,74.6074.6,78.9078.9,71.8071.8,65.2065.2,53.7053.7,50.0050.0,40.3040.3
100,1995,Camden,37.4037.4,30.3030.3,45.0045.0,51.7051.7,61.2061.2,71.0071.0,78.2078.2,75.9075.9,67.5067.5,59.1059.1,41.7041.7,31.2031.2
101,1996,Camden,30.9030.9,34.0034.0,37.8037.8,52.6052.6,59.9059.9,72.0072.0,73.4073.4,73.1073.1,67.5067.5,55.3055.3,40.5040.5,40.0040.0
102,1997,Camden,32.1032.1,39.9039.9,43.4043.4,50.0050.0,58.7058.7,69.7069.7,76.0076.0,72.6072.6,65.7065.7,55.5055.5,43.2043.2,37.5037.5
103,1998,Camden,40.7040.7,40.4040.4,44.7044.7,54.2054.2,64.8064.8,70.3070.3,75.8075.8,75.6075.6,70.3070.3,56.2056.2,46.0046.0,41.2041.2
104,1999,Camden,35.4035.4,36.9036.9,41.5041.5,52.0052.0,62.1062.1,72.0072.0,79.6079.6,75.5075.5,68.4068.4,54.6054.6,50.2050.2,39.5039.5
105,2000,Camden,32.1032.1,37.7037.7,47.1047.1,51.2051.2,63.6063.6,72.3072.3,72.8072.8,72.5072.5,65.8065.8,56.6056.6,43.8043.8,30.6030.6
106,2001,Camden,31.2031.2,37.4037.4,39.6039.6,53.2053.2,62.8062.8,72.7072.7,72.7072.7,77.1077.1,65.9065.9,57.1057.1,50.7050.7,42.5042.5
107,2002,Camden,38.4038.4,40.3040.3,44.9044.9,55.6055.6,61.4061.4,72.1072.1,77.6077.6,77.2077.2,69.4069.4,55.5055.5,44.6044.6,34.7034.7
108,2003,Camden,28.0028.0,29.5029.5,43.7043.7,50.7050.7,58.2058.2,69.4069.4,76.1076.1,76.5076.5,68.2068.2,54.4054.4,50.1050.1,36.7036.7
109,2004,Camden,26.3026.3,35.0035.0,44.8044.8,53.7053.7,68.6068.6,70.9070.9,75.1075.1,73.9073.9,68.8068.8,54.8054.8,47.5047.5,37.3037.3
110,2005,Camden,32.0032.0,35.7035.7,38.9038.9,54.1054.1,58.0058.0,73.6073.6,77.7077.7,77.8077.8,71.6071.6,57.7057.7,49.1049.1,34.0034.0
111,2006,Camden,40.4040.4,35.6035.6,43.9043.9,55.3055.3,63.2063.2,71.6071.6,78.4078.4,76.1076.1,65.9065.9,55.2055.2,50.8050.8,42.9042.9
112,2007,Camden,38.9038.9,28.3028.3,43.3043.3,50.3050.3,64.5064.5,72.4072.4,75.7075.7,75.3075.3,69.5069.5,63.3063.3,45.1045.1,37.4037.4
113,2008,Camden,36.1036.1,37.3037.3,44.4044.4,54.9054.9,60.0060.0,75.0075.0,77.7077.7,72.8072.8,69.0069.0,54.9054.9,44.7044.7,38.5038.5
114,2009,Camden,28.9028.9,36.9036.9,42.9042.9,54.1054.1,63.3063.3,69.2069.2,73.7073.7,76.2076.2,66.1066.1,54.8054.8,50.2050.2,36.0036.0
115,2010,Camden,33.0033.0,31.6031.6,47.8047.8,57.2057.2,65.8065.8,76.0076.0,79.7079.7,76.7076.7,70.9070.9,57.4057.4,46.2046.2,32.0032.0
116,2011,Camden,28.7028.7,37.2037.2,42.8042.8,56.1056.1,65.6065.6,73.8073.8,80.5080.5,74.5074.5,70.4070.4,56.6056.6,50.5050.5,42.4042.4
117,2012,Camden,37.7037.7,40.5040.5,51.5051.5,54.1054.1,66.8066.8,71.5071.5,79.6079.6,76.4076.4,68.5068.5,58.2058.2,42.5042.5,42.4042.4
118,2013,Camden,35.6035.6,34.8034.8,39.9039.9,53.4053.4,62.8062.8,73.0073.0,79.2079.2,72.6072.6,65.8065.8,58.6058.6,44.3044.3,37.9037.9
119,2014,Camden,28.4028.4,31.9031.9,37.7037.7,52.4052.4,63.4063.4,72.4072.4,75.7075.7,72.1072.1,67.9067.9,58.2058.2,43.5043.5,40.3040.3
120,2015,Camden,30.2030.2,24.7024.7,38.1038.1,53.3053.3,68.1068.1,72.3072.3,76.8076.8,75.8075.8,72.0072.0,55.9055.9,51.2051.2,50.2050.2
121,2016,Camden,33.2033.2,37.6037.6,49.0049.0,52.1052.1,61.2061.2,72.6072.6,79.0079.0,78.7078.7,71.4071.4,58.4058.4,48.0048.0,37.9037.9
122,2017,Camden,37.9037.9,42.9042.9,41.1041.1,57.9057.9,61.5061.5,72.2072.2,77.5077.5,73.2073.2,69.4069.4,61.6061.6,46.3046.3,34.9034.9
123,2018,Camden,32.0032.0,41.9041.9,39.8039.8,50.2050.2,67.3067.3,71.8071.8,77.7077.7,78.5078.5,72.1072.1,58.3058.3,44.2044.2,39.6039.6
124,2019,Camden,33.6033.6,36.7036.7,41.9041.9,57.4057.4,65.4065.4,72.7072.7,79.6079.6,75.9075.9,70.8070.8,59.7059.7,42.7042.7,38.5038.5

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Cape May,25.7025.7,33.8033.8,37.9037.9,49.4049.4,61.1061.1,68.5068.5,73.2073.2,74.5074.5,70.3070.3,58.6058.6,47.7047.7,36.9036.9
76,1971,Cape May,29.0029.0,35.0035.0,39.4039.4,48.6048.6,57.8057.8,69.8069.8,73.5073.5,72.3072.3,69.1069.1,62.3062.3,45.6045.6,42.8042.8
77,1972,Cape May,35.9035.9,33.1033.1,39.9039.9,47.6047.6,59.0059.0,66.2066.2,74.5074.5,72.3072.3,67.2067.2,52.4052.4,44.3044.3,41.6041.6
78,1973,Cape May,35.0035.0,33.2033.2,46.3046.3,51.6051.6,58.5058.5,71.5071.5,74.9074.9,75.2075.2,69.0069.0,58.2058.2,47.4047.4,39.4039.4
79,1974,Cape May,38.3038.3,32.7032.7,43.6043.6,53.0053.0,59.8059.8,67.1067.1,74.3074.3,73.9073.9,66.8066.8,52.7052.7,46.6046.6,39.5039.5
80,1975,Cape May,37.5037.5,36.4036.4,40.2040.2,46.0046.0,62.4062.4,69.4069.4,73.6073.6,74.9074.9,64.6064.6,60.3060.3,50.8050.8,37.7037.7
81,1976,Cape May,30.6030.6,41.1041.1,45.1045.1,53.2053.2,59.5059.5,70.7070.7,72.8072.8,72.0072.0,66.0066.0,52.7052.7,40.5040.5,32.4032.4
82,1977,Cape May,22.4022.4,34.3034.3,46.7046.7,53.2053.2,62.0062.0,67.1067.1,75.2075.2,74.9074.9,69.5069.5,55.0055.0,49.3049.3,35.9035.9
83,1978,Cape May,30.6030.6,25.0025.0,39.0039.0,50.0050.0,57.8057.8,68.3068.3,71.8071.8,76.1076.1,65.6065.6,54.8054.8,48.5048.5,38.8038.8
84,1979,Cape May,33.3033.3,24.2024.2,44.4044.4,49.9049.9,61.7061.7,65.2065.2,73.2073.2,73.2073.2,67.3067.3,55.2055.2,50.4050.4,39.7039.7
85,1980,Cape May,33.5033.5,30.3030.3,39.8039.8,52.3052.3,62.9062.9,67.7067.7,75.3075.3,76.2076.2,70.1070.1,54.9054.9,44.0044.0,34.8034.8
86,1981,Cape May,27.2027.2,37.5037.5,40.7040.7,53.8053.8,59.8059.8,70.6070.6,75.2075.2,71.8071.8,66.4066.4,53.7053.7,45.5045.5,35.3035.3
87,1982,Cape May,25.8025.8,34.9034.9,41.3041.3,48.3048.3,61.4061.4,66.6066.6,74.1074.1,70.7070.7,65.2065.2,55.7055.7,49.0049.0,42.7042.7
88,1983,Cape May,34.6034.6,34.9034.9,43.7043.7,50.2050.2,58.9058.9,69.3069.3,76.6076.6,74.6074.6,67.9067.9,57.1057.1,48.0048.0,35.4035.4
89,1984,Cape May,28.8028.8,39.5039.5,37.4037.4,49.2049.2,59.9059.9,71.1071.1,72.7072.7,74.4074.4,64.8064.8,61.4061.4,45.2045.2,44.0044.0
90,1985,Cape May,28.3028.3,35.4035.4,44.7044.7,54.8054.8,63.0063.0,68.1068.1,74.6074.6,72.6072.6,68.1068.1,59.2059.2,53.3053.3,34.1034.1
91,1986,Cape May,33.3033.3,32.7032.7,43.1043.1,49.9049.9,62.7062.7,70.3070.3,76.5076.5,72.0072.0,66.4066.4,58.3058.3,46.0046.0,38.9038.9
92,1987,Cape May,32.5032.5,31.8031.8,42.9042.9,49.9049.9,61.8061.8,71.5071.5,76.7076.7,73.3073.3,68.5068.5,52.4052.4,48.6048.6,39.3039.3
93,1988,Cape May,28.6028.6,35.0035.0,43.1043.1,48.8048.8,59.9059.9,68.9068.9,75.7075.7,75.3075.3,64.7064.7,51.0051.0,47.2047.2,35.5035.5
94,1989,Cape May,37.4037.4,34.7034.7,41.4041.4,50.0050.0,59.8059.8,72.4072.4,73.9073.9,73.3073.3,67.9067.9,57.9057.9,45.8045.8,26.1026.1
95,1990,Cape May,40.6040.6,41.3041.3,45.0045.0,51.4051.4,59.2059.2,69.7069.7,75.2075.2,73.4073.4,65.4065.4,60.7060.7,48.5048.5,42.5042.5
96,1991,Cape May,35.5035.5,39.2039.2,44.7044.7,53.0053.0,66.4066.4,71.0071.0,76.1076.1,75.6075.6,66.5066.5,57.2057.2,47.2047.2,40.8040.8
97,1992,Cape May,35.5035.5,36.5036.5,40.1040.1,49.4049.4,57.0057.0,66.8066.8,74.1074.1,70.9070.9,66.9066.9,53.5053.5,47.0047.0,38.3038.3
98,1993,Cape May,37.9037.9,31.2031.2,38.7038.7,50.3050.3,61.9061.9,70.0070.0,77.7077.7,74.5074.5,67.9067.9,55.1055.1,46.5046.5,36.0036.0
99,1994,Cape May,28.3028.3,32.5032.5,41.5041.5,55.4055.4,58.0058.0,72.1072.1,77.1077.1,70.8070.8,65.8065.8,54.7054.7,51.4051.4,41.4041.4
100,1995,Cape May,39.0039.0,32.2032.2,44.4044.4,51.2051.2,60.4060.4,69.1069.1,77.2077.2,75.1075.1,68.0068.0,59.9059.9,42.4042.4,33.3033.3
101,1996,Cape May,32.6032.6,34.2034.2,38.3038.3,51.5051.5,58.6058.6,70.8070.8,72.7072.7,72.5072.5,68.5068.5,56.5056.5,41.8041.8,40.8040.8
102,1997,Cape May,34.0034.0,40.3040.3,43.8043.8,49.8049.8,57.9057.9,67.7067.7,75.1075.1,72.7072.7,67.1067.1,56.5056.5,45.1045.1,38.8038.8
103,1998,Cape May,41.0041.0,40.9040.9,44.5044.5,53.4053.4,63.0063.0,70.0070.0,75.4075.4,75.0075.0,70.7070.7,57.5057.5,46.9046.9,41.5041.5
104,1999,Cape May,37.6037.6,37.3037.3,41.4041.4,51.3051.3,61.1061.1,69.9069.9,78.3078.3,75.4075.4,68.7068.7,56.0056.0,51.0051.0,40.4040.4
105,2000,Cape May,32.9032.9,38.6038.6,46.9046.9,50.7050.7,62.8062.8,71.9071.9,72.1072.1,73.2073.2,66.3066.3,57.5057.5,45.0045.0,31.6031.6
106,2001,Cape May,32.8032.8,37.8037.8,39.9039.9,52.2052.2,61.8061.8,72.2072.2,71.9071.9,76.2076.2,66.1066.1,57.2057.2,51.0051.0,43.8043.8
107,2002,Cape May,39.5039.5,40.0040.0,45.2045.2,54.9054.9,60.9060.9,71.0071.0,76.7076.7,77.2077.2,69.2069.2,57.9057.9,45.8045.8,36.4036.4
108,2003,Cape May,29.7029.7,31.6031.6,43.2043.2,50.4050.4,56.2056.2,68.7068.7,75.4075.4,75.7075.7,69.6069.6,55.8055.8,50.7050.7,37.9037.9
109,2004,Cape May,28.4028.4,35.2035.2,44.4044.4,52.6052.6,66.7066.7,70.1070.1,75.2075.2,73.3073.3,69.1069.1,55.7055.7,48.0048.0,38.6038.6
110,2005,Cape May,33.5033.5,36.2036.2,39.1039.1,52.0052.0,56.3056.3,71.1071.1,76.8076.8,77.3077.3,71.8071.8,58.7058.7,49.4049.4,35.6035.6
111,2006,Cape May,41.3041.3,36.2036.2,43.2043.2,54.3054.3,61.6061.6,70.5070.5,77.3077.3,76.5076.5,66.2066.2,56.3056.3,51.3051.3,43.7043.7
112,2007,Cape May,39.9039.9,29.6029.6,43.0043.0,49.8049.8,62.4062.4,70.8070.8,74.9074.9,75.6075.6,69.5069.5,64.1064.1,46.4046.4,38.8038.8
113,2008,Cape May,36.5036.5,38.1038.1,44.0044.0,53.4053.4,59.5059.5,73.7073.7,76.2076.2,72.9072.9,69.1069.1,56.0056.0,45.8045.8,40.2040.2
114,2009,Cape May,30.6030.6,37.6037.6,41.9041.9,53.5053.5,61.6061.6,68.5068.5,73.7073.7,76.3076.3,66.7066.7,56.3056.3,50.8050.8,37.5037.5
115,2010,Cape May,33.0033.0,32.3032.3,47.0047.0,55.7055.7,63.8063.8,75.2075.2,79.1079.1,76.4076.4,71.2071.2,58.4058.4,47.4047.4,32.5032.5
116,2011,Cape May,30.2030.2,37.7037.7,43.3043.3,55.5055.5,64.4064.4,73.5073.5,79.2079.2,74.8074.8,70.6070.6,58.0058.0,51.2051.2,43.3043.3
117,2012,Cape May,39.0039.0,40.7040.7,50.6050.6,53.7053.7,65.2065.2,70.8070.8,78.9078.9,75.8075.8,68.2068.2,59.3059.3,43.8043.8,44.3044.3
118,2013,Cape May,36.6036.6,35.4035.4,39.8039.8,52.3052.3,61.1061.1,71.3071.3,77.6077.6,72.3072.3,65.6065.6,59.2059.2,45.2045.2,40.1040.1
119,2014,Cape May,29.4029.4,33.5033.5,38.3038.3,50.6050.6,62.4062.4,71.0071.0,73.8073.8,71.4071.4,68.3068.3,59.1059.1,44.6044.6,40.9040.9
120,2015,Cape May,31.9031.9,25.8025.8,38.6038.6,52.2052.2,65.7065.7,71.7071.7,75.9075.9,74.7074.7,71.8071.8,56.7056.7,52.0052.0,50.9050.9
121,2016,Cape May,34.7034.7,38.7038.7,48.1048.1,51.2051.2,60.0060.0,71.1071.1,78.2078.2,78.2078.2,71.3071.3,59.5059.5,48.6048.6,39.3039.3
122,2017,Cape May,39.0039.0,43.0043.0,42.2042.2,57.4057.4,61.2061.2,71.4071.4,77.1077.1,73.4073.4,69.7069.7,62.4062.4,47.4047.4,36.4036.4
123,2018,Cape May,32.3032.3,42.2042.2,40.0040.0,49.7049.7,65.5065.5,71.0071.0,76.4076.4,78.4078.4,73.0073.0,59.8059.8,45.9045.9,40.6040.6
124,2019,Cape May,34.6034.6,37.4037.4,41.8041.8,55.8055.8,64.0064.0,72.5072.5,78.4078.4,75.5075.5,70.8070.8,61.0061.0,43.9043.9,40.2040.2

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Cumberland,24.5024.5,32.8032.8,37.4037.4,49.8049.8,62.0062.0,69.2069.2,73.9073.9,74.4074.4,70.0070.0,58.0058.0,46.6046.6,35.4035.4
76,1971,Cumberland,27.5027.5,34.0034.0,39.2039.2,48.9048.9,58.3058.3,70.9070.9,73.8073.8,72.2072.2,68.9068.9,61.8061.8,44.6044.6,41.2041.2
77,1972,Cumberland,34.4034.4,31.9031.9,39.9039.9,47.7047.7,60.2060.2,66.5066.5,74.7074.7,72.4072.4,66.6066.6,51.4051.4,43.2043.2,40.4040.4
78,1973,Cumberland,33.8033.8,32.5032.5,46.4046.4,51.6051.6,58.7058.7,72.4072.4,75.0075.0,75.4075.4,68.2068.2,57.4057.4,46.5046.5,37.9037.9
79,1974,Cumberland,36.5036.5,31.1031.1,43.0043.0,53.3053.3,60.3060.3,67.2067.2,74.5074.5,74.0074.0,66.1066.1,52.1052.1,45.5045.5,38.3038.3
80,1975,Cumberland,36.4036.4,35.2035.2,39.8039.8,46.4046.4,63.2063.2,69.9069.9,73.8073.8,74.7074.7,64.1064.1,59.3059.3,49.6049.6,36.0036.0
81,1976,Cumberland,28.6028.6,40.2040.2,45.2045.2,53.6053.6,60.1060.1,72.1072.1,72.7072.7,72.1072.1,65.3065.3,51.1051.1,39.2039.2,30.2030.2
82,1977,Cumberland,21.0021.0,33.4033.4,47.2047.2,54.0054.0,63.2063.2,67.8067.8,75.6075.6,74.8074.8,68.6068.6,53.9053.9,47.5047.5,34.3034.3
83,1978,Cumberland,28.9028.9,23.0023.0,38.1038.1,50.5050.5,58.7058.7,69.5069.5,72.1072.1,75.6075.6,65.2065.2,54.0054.0,47.1047.1,37.7037.7
84,1979,Cumberland,32.3032.3,22.6022.6,45.0045.0,49.9049.9,62.5062.5,66.0066.0,73.4073.4,73.3073.3,67.0067.0,54.3054.3,49.6049.6,38.3038.3
85,1980,Cumberland,32.1032.1,29.6029.6,39.4039.4,52.8052.8,63.5063.5,67.8067.8,76.2076.2,76.5076.5,69.8069.8,54.1054.1,42.7042.7,33.2033.2
86,1981,Cumberland,25.6025.6,37.5037.5,39.8039.8,54.2054.2,60.8060.8,71.2071.2,75.4075.4,71.6071.6,65.6065.6,52.6052.6,44.7044.7,34.0034.0
87,1982,Cumberland,24.2024.2,34.2034.2,40.9040.9,48.7048.7,62.1062.1,67.2067.2,74.8074.8,70.7070.7,65.3065.3,55.3055.3,48.4048.4,41.9041.9
88,1983,Cumberland,33.7033.7,33.8033.8,43.5043.5,50.5050.5,59.7059.7,70.1070.1,76.7076.7,75.3075.3,68.0068.0,56.4056.4,47.0047.0,34.0034.0
89,1984,Cumberland,27.0027.0,39.2039.2,36.6036.6,49.8049.8,60.6060.6,71.9071.9,73.2073.2,74.2074.2,63.9063.9,60.9060.9,44.2044.2,42.6042.6
90,1985,Cumberland,26.9026.9,35.3035.3,44.4044.4,55.0055.0,63.6063.6,68.2068.2,74.6074.6,72.4072.4,67.9067.9,58.4058.4,51.6051.6,32.8032.8
91,1986,Cumberland,32.4032.4,31.8031.8,43.3043.3,50.9050.9,63.9063.9,71.1071.1,76.3076.3,71.7071.7,66.2066.2,57.3057.3,44.8044.8,37.6037.6
92,1987,Cumberland,30.9030.9,31.1031.1,43.2043.2,50.6050.6,61.9061.9,72.6072.6,77.6077.6,73.5073.5,67.8067.8,51.5051.5,47.8047.8,38.7038.7
93,1988,Cumberland,27.1027.1,34.8034.8,43.1043.1,49.6049.6,61.1061.1,69.9069.9,77.3077.3,76.4076.4,64.8064.8,50.2050.2,46.4046.4,34.7034.7
94,1989,Cumberland,36.2036.2,34.5034.5,41.2041.2,50.1050.1,60.2060.2,72.8072.8,74.3074.3,73.0073.0,67.5067.5,57.0057.0,44.7044.7,24.6024.6
95,1990,Cumberland,40.1040.1,41.3041.3,45.1045.1,52.0052.0,59.7059.7,70.4070.4,75.9075.9,73.4073.4,65.1065.1,60.2060.2,48.0048.0,41.5041.5
96,1991,Cumberland,34.3034.3,38.9038.9,44.9044.9,53.4053.4,67.5067.5,71.9071.9,76.4076.4,75.4075.4,66.3066.3,56.5056.5,46.0046.0,39.7039.7
97,1992,Cumberland,34.9034.9,36.2036.2,40.2040.2,50.1050.1,58.0058.0,67.5067.5,74.4074.4,70.4070.4,66.6066.6,52.5052.5,46.0046.0,37.5037.5
98,1993,Cumberland,37.3037.3,30.7030.7,38.7038.7,51.4051.4,62.9062.9,70.8070.8,78.0078.0,75.1075.1,67.4067.4,54.2054.2,45.6045.6,35.3035.3
99,1994,Cumberland,26.8026.8,31.4031.4,41.4041.4,56.3056.3,58.6058.6,73.6073.6,78.1078.1,71.3071.3,65.5065.5,53.9053.9,50.5050.5,40.7040.7
100,1995,Cumberland,38.2038.2,31.4031.4,44.9044.9,51.6051.6,60.7060.7,70.1070.1,77.5077.5,75.3075.3,67.6067.6,59.1059.1,41.8041.8,31.9031.9
101,1996,Cumberland,31.8031.8,34.0034.0,38.2038.2,52.0052.0,59.0059.0,71.2071.2,72.9072.9,72.6072.6,67.7067.7,55.6055.6,40.7040.7,39.8039.8
102,1997,Cumberland,33.0033.0,39.9039.9,43.7043.7,49.9049.9,58.4058.4,68.7068.7,75.8075.8,72.9072.9,66.3066.3,56.1056.1,44.5044.5,38.2038.2
103,1998,Cumberland,40.8040.8,40.8040.8,44.5044.5,54.2054.2,64.1064.1,70.3070.3,75.3075.3,74.7074.7,70.2070.2,56.5056.5,46.1046.1,40.9040.9
104,1999,Cumberland,36.5036.5,37.0037.0,41.4041.4,51.7051.7,61.9061.9,70.8070.8,78.4078.4,75.2075.2,68.5068.5,54.8054.8,50.5050.5,39.5039.5
105,2000,Cumberland,32.0032.0,38.1038.1,47.2047.2,51.0051.0,63.5063.5,72.3072.3,72.2072.2,72.7072.7,65.4065.4,56.7056.7,44.0044.0,30.2030.2
106,2001,Cumberland,31.6031.6,37.2037.2,39.8039.8,52.8052.8,62.3062.3,72.3072.3,72.0072.0,76.4076.4,65.4065.4,56.6056.6,49.8049.8,42.6042.6
107,2002,Cumberland,38.2038.2,39.7039.7,45.4045.4,56.0056.0,61.5061.5,71.7071.7,77.0077.0,77.4077.4,69.3069.3,57.1057.1,44.8044.8,35.0035.0
108,2003,Cumberland,29.0029.0,30.2030.2,43.6043.6,51.0051.0,57.4057.4,69.0069.0,75.6075.6,76.1076.1,69.0069.0,54.8054.8,50.7050.7,37.0037.0
109,2004,Cumberland,27.3027.3,34.7034.7,44.8044.8,53.8053.8,68.6068.6,70.3070.3,75.1075.1,73.5073.5,69.0069.0,55.1055.1,47.6047.6,37.9037.9
110,2005,Cumberland,32.8032.8,35.7035.7,39.2039.2,53.6053.6,57.3057.3,72.4072.4,77.2077.2,77.0077.0,71.7071.7,58.0058.0,49.1049.1,34.9034.9
111,2006,Cumberland,41.1041.1,35.5035.5,43.6043.6,55.2055.2,62.5062.5,71.2071.2,77.9077.9,76.4076.4,66.0066.0,55.2055.2,50.9050.9,43.0043.0
112,2007,Cumberland,39.3039.3,28.9028.9,43.7043.7,50.4050.4,63.8063.8,71.9071.9,75.8075.8,76.0076.0,69.6069.6,63.7063.7,45.6045.6,37.8037.8
113,2008,Cumberland,36.1036.1,37.8037.8,44.0044.0,54.8054.8,60.2060.2,74.6074.6,77.3077.3,72.9072.9,69.1069.1,55.4055.4,44.9044.9,39.1039.1
114,2009,Cumberland,29.7029.7,37.2037.2,42.0042.0,53.6053.6,62.4062.4,69.2069.2,73.9073.9,76.5076.5,66.4066.4,55.6055.6,50.4050.4,36.2036.2
115,2010,Cumberland,32.8032.8,31.0031.0,47.5047.5,56.6056.6,65.1065.1,76.5076.5,79.3079.3,76.4076.4,71.2071.2,57.7057.7,46.9046.9,31.8031.8
116,2011,Cumberland,28.8028.8,37.4037.4,43.4043.4,56.4056.4,65.4065.4,74.1074.1,80.0080.0,74.8074.8,70.6070.6,57.1057.1,50.6050.6,42.7042.7
